Name,Description,Managers,Members
T1,Team Description from T1,1,9187302473
T2,Team Description from T2,2,9049091469
T3,Team Description from T3,3,9999270531
T4,Team Description from T4,4,9136522771
T5,Team Description from T5,5,9115795749
T6,Team Description from T6,6,9927272742
T7,Team Description from T7,7,9377694564
T8,Team Description from T8,8,9691442673
T9,Team Description from T9,9,9089905783
T10,Team Description from T10,10,9909543127
T11,Team Description from T11,11,9537850693
T12,Team Description from T12,12,9644010051
T13,Team Description from T13,13,9114864877
T14,Team Description from T14,14,9844683641
T15,Team Description from T15,15,9079322223
T16,Team Description from T16,16,9601552656
T17,Team Description from T17,17,9329828053
T18,Team Description from T18,18,9813526576
T19,Team Description from T19,19,9868113037
T20,Team Description from T20,20,9922787229
T21,Team Description from T21,21,9138456648
T22,Team Description from T22,22,9861834531
T23,Team Description from T23,23,9919788100
T24,Team Description from T24,24,9107895978
T25,Team Description from T25,25,9618703135
T26,Team Description from T26,26,9041993225
T27,Team Description from T27,27,9001276473
T28,Team Description from T28,28,9077545203
T29,Team Description from T29,29,9273890042
T30,Team Description from T30,30,9745913572
T31,Team Description from T31,31,9016132761
T32,Team Description from T32,32,9196471790
T33,Team Description from T33,33,9244078124
T34,Team Description from T34,34,9319989615
T35,Team Description from T35,35,9619724394
T36,Team Description from T36,36,9338879924
T37,Team Description from T37,37,9090530162
T38,Team Description from T38,38,9868345549
T39,Team Description from T39,39,9408818772
T40,Team Description from T40,40,9694163595
T41,Team Description from T41,41,9301544436
T42,Team Description from T42,42,9862593356
T43,Team Description from T43,43,9436577815
T44,Team Description from T44,44,9744272705
T45,Team Description from T45,45,9464466455
T46,Team Description from T46,46,9946610709
T47,Team Description from T47,47,9791007193
T48,Team Description from T48,48,9496962855
T49,Team Description from T49,49,9878004893
T50,Team Description from T50,50,9472423065
T51,Team Description from T51,51,9615537573
T52,Team Description from T52,52,9318813951
T53,Team Description from T53,53,9549095294
T54,Team Description from T54,54,9186313322
T55,Team Description from T55,55,9704285038
T56,Team Description from T56,56,9259657916
T57,Team Description from T57,57,9206747115
T58,Team Description from T58,58,9355871717
T59,Team Description from T59,59,9435439742
T60,Team Description from T60,60,9910559273
T61,Team Description from T61,61,9367987118
T62,Team Description from T62,62,9726231141
T63,Team Description from T63,63,9827739061
T64,Team Description from T64,64,9780005541
T65,Team Description from T65,65,9868674917
T66,Team Description from T66,66,9996040371
T67,Team Description from T67,67,9552300787
T68,Team Description from T68,68,9683252142
T69,Team Description from T69,69,9956066792
T70,Team Description from T70,70,9188075872
T71,Team Description from T71,71,9518999445
T72,Team Description from T72,72,9398102291
T73,Team Description from T73,73,9751859453
T74,Team Description from T74,74,9484433310
T75,Team Description from T75,75,9990424725
T76,Team Description from T76,76,9869627635
T77,Team Description from T77,77,9040782174
T78,Team Description from T78,78,9142275437
T79,Team Description from T79,79,9680881790
